,Afrikaans,Croatian,Czech,Danish,Dutch,Finish,German,Hungarian,Italian,Norvegian,Polish,Spanish,Swailii,Swedish,turkish,French,English,Portugese,Finnish
A,0.05830289944951038,0.021376489418459897,0.01854056287816642,0.054842693009771286,0.07292834856375123,0.05370628588602441,0.11152738900308248,0.05856905158069883,0.12225190753277333,0.0731527577623477,0.021409066084107045,0.11892547977831723,0.19694830582102518,0.05699393073902178,0.07257971902155189,0.07706666183403536,0.06612976868514299,0.13761056518851603,0.04195796662752744
B,0.07927356807619573,0.03876934020985239,0.024319840129278177,0.06698969182862666,0.07930735834600992,0.015247301231176765,0.06776164639463833,0.0454242928452579,0.02424887359340684,0.07765622952967378,0.0299927180047333,0.02802523702651949,0.0067875760208514335,0.06197786504819707,0.07196723194120123,0.04945076282222217,0.05215784543425929,0.03445446046726086,0.006441813618295613
C,0.0028864337613217876,0.02418637737862351,0.023678383529368227,0.020146569311714806,0.018820577164366373,0.0092399414291156,0.00738971136153366,0.02601220188574598,0.0940068376842439,0.004830996986767981,0.026715820134716912,0.11617734621902624,0.0032037358818418765,0.008739735808639772,0.017264479577383914,0.10656210923645289,0.08345641115781757,0.09385403491554532,0.0011741767297562236
D,0.04597621946084174,0.058900942557353723,0.04901591922581123,0.03518603028025341,0.041677307602624884,0.010117106821970373,0.03734843935139347,0.020743205768164172,0.07223719066271198,0.0406950085156557,0.04889859821591116,0.11629757706224522,0.004289748045178106,0.032002856122813284,0.06415802166673047,0.11198587490906455,0.048828849299153064,0.10461127162128435,0.005913972703084099
E,0.024193980598877583,0.01202205228525698,0.007789996977752558,0.028206539246214968,0.01880392178634481,0.03479306235562592,0.06034980131297228,0.07775929007210206,0.029535626146217766,0.027184593213677454,0.019506644820680867,0.11231850867952183,0.002877932232841008,0.02456265619421635,0.037667955441564906,0.0951527845017514,0.03604661880743483,0.12919682401363797,0.026866025357908458
F,0.01808423486536356,0.013658189578516807,0.009116085141027934,0.07774750348974552,0.015084220694862371,0.00999828760540837,0.04481635652406157,0.057515252357182474,0.03380351846401159,0.07680466395912486,0.020835608956854178,0.02868936930334814,0.004941355343179844,0.0829418064976794,0.027485357730735367,0.03573471960814264,0.03401878214046092,0.03140030203173448,0.006797298316295203
G,0.0905283628484584,0.025111150631335587,0.0056929273242008,0.042158810265220656,0.07613728472923907,0.009093164749833129,0.06039406875323706,0.022296173044925125,0.02613942536282745,0.03502882221931089,0.02910977607864555,0.01589337241789951,0.0022806255430060816,0.036472688325598,0.0440607893427248,0.03109280464346831,0.031009180998355867,0.025499261841209143,0.0034794411349656903
H,0.04716294952186263,0.013053530144051218,0.02274703788911436,0.05348035004831955,0.03731359856097534,0.05637622357582937,0.05076442491430561,0.04797559622850804,0.0008377295265696108,0.040432988340102186,0.017176406335335882,0.01770256034443274,0.07319721980886186,0.04399857193859336,0.0435631435899399,0.019044019230420723,0.04000368697575814,0.022813125267027355,0.06083097241223298
I,0.03166655182182205,0.046167526231548996,0.01102811923691336,0.030152743476860304,0.023517393766447185,0.024004976428364244,0.015872828497607346,0.034608985024958405,0.05882219756832024,0.023712825887593346,0.01971600218459858,0.058077222553016075,0.03475238922675934,0.031631560157086756,0.04153428013627838,0.03323642181622366,0.03262544827837524,0.036721813544050526,0.021813833740883973
J,0.008973210525912824,0.015258758669749245,0.01073206234464723,0.013012724149038977,0.006634392245255993,0.02766390936190586,0.005831497464213463,0.02273987798114254,0.0004528267711187085,0.007811476483689244,0.015028217731658475,0.005977190491457885,0.006190269331016508,0.011181720813995003,0.001990583011139609,0.007650227953492827,0.008913049536234183,0.005689533373660633,0.02614428369833353
K,0.09002304553215273,0.054241508091765964,0.04598133608008339,0.0638153656179534,0.062452115788188,0.13324526732576386,0.059746288544029136,0.1031059345535219,0.0006452781488441597,0.06724092755142146,0.06532860003640997,0.00014313195621307195,0.11337966985230234,0.075872902534809,0.1080656892393676,0.0030937470065732415,0.013219522965357434,5.922190872211812e-05,0.15234135148818823
L,0.03730160553092772,0.021803307842788548,0.016887578563013858,0.04232658649200043,0.033094236128846,0.062062072556605126,0.029184047785226184,0.03860232945091514,0.03080354110535015,0.036191536748329624,0.025659930821044966,0.020759858929143955,0.01661598609904431,0.040314173509460906,0.01462312904337174,0.02227756735695627,0.030211765311131452,0.02685290546914327,0.0704936928396764
M,0.04279118910352114,0.045882980615329895,0.03125867354176561,0.054111188661011486,0.03959538534992949,0.06594466519191051,0.040715715974200935,0.07964503605102606,0.03326012633866914,0.04649220489977728,0.04281813216821409,0.03746049558008519,0.11571459600347524,0.04576936808282756,0.07372813229720936,0.05099116405143646,0.05401419485666882,0.05427687934382125,0.0657000355484698
N,0.02443898293405609,0.06957140316556998,0.19814224300103003,0.03111242349404059,0.018287605067676353,0.028680862068362987,0.02339829334261966,0.03349972268441486,0.014422532660130867,0.022206209878160618,0.051356271618423446,0.009263500206110017,0.07401172893136403,0.03213138164941092,0.018259771082953718,0.01342867424526812,0.034664002898134434,0.01565573458432565,0.0297853087869354
O,0.07395242360903752,0.06825537969055664,0.05777426895535092,0.03344786857081499,0.0676985598649804,0.028104239399753275,0.009989685686418307,0.026289517470881863,0.02327529603550162,0.032621511856412946,0.0597669761514655,0.01877891265515504,0.0023892267593397048,0.04595501606569082,0.029820464724572216,0.016297186114124316,0.03228461737980352,0.022347810269924998,0.019282351800583856
P,0.04103023481942562,0.15404588298061533,0.14178041213586545,0.04628610544400301,0.047723209824452315,0.09121122212553599,0.04317255890889613,0.03499722684414864,0.07283718613444427,0.05127407310362898,0.1496541052248316,0.07744583886776897,0.008742397914856646,0.050567654409139594,0.042223328101672855,0.08113642777071581,0.08779503844529664,0.07702655256578919,0.10554663851515118
Q,0.0001990643973325371,0.0002489774141917126,,0.00066439385804789,0.0005218685113423124,0.0004508140863675917,0.0033244847638848516,0.0011092623405435386,0.003679217515339507,0.0001637626097209485,0.005106499180775532,0.003200430540924289,5.4300608166811465e-05,0.00015708675473045342,,0.003326748873177084,0.006898074412602598,0.006590552413504288,5.3861317878725856e-05
R,0.032332651920588616,0.041863773786235105,0.03941874163485083,0.03801809298829593,0.03744128979247399,0.04451177533382958,0.0352457359388165,0.03144758735440932,0.08626349989811398,0.04112079130093017,0.04693245949390133,0.08275317180414968,0.0022806255430060816,0.04252766868975366,0.017341040462427744,0.10147231290597339,0.04563061218802719,0.056958785781665744,0.056543611509086406
S,0.13688739845801656,0.11100835852747644,0.0854494205303119,0.12979840008590143,0.08996680027981035,0.09046685468060346,0.09643071629145092,0.07748197448696617,0.17394208345597392,0.14004978383335517,0.091134170762789,0.050737415838409745,0.020145525629887053,0.13243841485183863,0.10626650844083757,0.06482629710844684,0.10842924114750689,0.04538090262649165,0.09988042787430923
SS,,,,6.711049071190808e-06,,,,,,,,,,,,,,,
T,0.045654653895919946,0.03898274942201672,0.02586180310983094,0.05975518092988296,0.04569125370582161,0.0895722158735484,0.03268707789151231,0.07093732667775929,0.05206375800937352,0.0664876195467051,0.03144911705807391,0.04579077543168598,0.050173761946133794,0.05925026776151374,0.07391953450981893,0.04714922216210199,0.054089220526165736,0.04647650793785084,0.08952828257801812
U,0.015718431066296102,0.039480704250400143,0.030685063312999982,0.03389750885858477,0.020252939674220805,0.014883854215810644,0.03514392082620751,0.021575152523571825,0.010822559829737134,0.04275841739813966,0.03632805388676497,0.006189025786653231,0.06738705473501304,0.03985719385933595,0.01921678214600161,0.0031973033917305047,0.05100030653344966,0.005922190872211811,0.013950081330589998
V,0.049819693593954564,0.03478570158278499,0.07398338380692156,0.035387361752389136,0.08356558332685624,0.07411173898912804,0.054292539903408446,0.05341098169717138,0.030679013743292502,0.04097340495218132,6.371745858365191e-05,0.025666422388128062,0.013032145960034752,0.038914673330953234,0.014776250813459403,0.020509342080396,0.014612856827443104,0.01557113185757977,0.07782960433475886
W,0.002672056718040594,0.0011381824648764006,0.00012335703844422102,0.0036239664984430366,0.03704711251263033,0.0045920132518373295,0.03750485097366235,0.004270660011092623,0.0005999954717322888,0.0010153281802698809,0.07610595303113053,3.435166949113727e-05,0.14503692441355343,0.0019136022848982505,,0.0008232732620002433,0.025019988981944536,9.729313575776547e-05,0.0002585343258178841
X,7.656322974328348e-06,0.0002134092121643251,2.4671407688844206e-05,0.0006107054654783636,0.00015545019486792286,0.00015726072780264828,0.0005990860249166666,0.0009983361064891847,0.00028301673194919285,0.00021289139263723308,1.820498816675769e-05,0.00014885723446159482,,0.0003855765797929311,,0.000328791522874311,0.0013054466492464208,0.0017512764436397785,3.2316790727235514e-05
Y,0.00011484484461492524,0.00035568202027387515,1.2335703844422103e-05,0.0023287340277032107,0.00019431274358490356,0.020297117935061802,0.0002670802229308292,0.0012201885745978924,0.000237734054837322,0.003193370889558496,6.371745858365191e-05,0.0010019236934915036,0.023023457862728063,0.002484826847554445,0.04459671553803162,0.0010381527612015648,0.003729847569275488,2.5380818023764907e-05,0.017138671349010568
Z,7.656322974328348e-06,0.049617641828205584,0.06995577650171775,0.0028857511006120475,0.02608787377444177,0.0014677667928247172,0.03624175334477401,0.00776483638380477,0.0038490275545090226,0.0006878029608279837,0.06982523211359913,0.002542023542344158,0.012543440486533448,0.0009568011424491253,0.01489109214102515,0.003127402831749352,0.003905621994953988,0.0031556817076214367,0.00021544527151490342
